gridExp,logicExp,tutorialTime,tutorialSlide,category,numPuzzles,totalTime,averageTime
1,1,46543,11,novice,1,156265.0,156265.0
2,2,12743,11,expert,3,716618.0,238872.66666666666
1,2,10194,11,intermediate,2,484070.0,242035.0
2,2,37408,11,expert,1,415889.0,415889.0
2,2,29191,11,expert,1,147313.0,147313.0
2,2,122219,11,expert,1,444749.0,444749.0
1,1,196254,11,novice,3,1095858.0,365286.0
1,2,135702,11,intermediate,1,239918.0,239918.0
1,2,63022,11,intermediate,1,604553.0,604553.0
1,2,454407,11,intermediate,1,658421.0,658421.0
